"dsc_situacao";"bsq_situacao";"inicia_execucao";"inicio_condicional";"hierarquia"
"Arquivado definitivamente";"2";"Não";"Não";""
"Arquivado provisoriamente";"4";"Não";"Não";""
"Ato publicado";"1";"Não";"Não";""
"Audiência conciliatória antecipada";"73";"Não";"Não";""
"Audiência conciliatória cancelada";"70";"Não";"Não";""
"Audiência conciliatória convertida em diligência";"74";"Não";"Não";""
"Audiência conciliatória designada";"5";"Não";"Não";""
"Audiência conciliatória não realizada";"75";"Não";"Não";""
"Desarquivado";"82";"Não";"Sim";""
"Audiência conciliatória realizada";"6";"Não";"Não";""
"Audiência conciliatória redesignada";"76";"Não";"Não";""
"Audiência não conciliatória antecipada";"77";"Não";"Não";""
"Audiência não conciliatória cancelada";"71";"Não";"Não";""
"Audiência não conciliatória convertida em diligência";"78";"Não";"Não";""
"Audiência não conciliatória designada";"7";"Não";"Não";""
"Audiência não conciliatória não realizada";"79";"Não";"Não";""
"Iniciada tramitação direta entre MP e autoridade policial";"116";"Não";"Não";""
"Audiência não conciliatória realizada";"8";"Não";"Não";""
"Audiência não conciliatória redesignada";"80";"Não";"Não";""
"Autos físicos convertidos em eletrônicos";"110";"Não";"Não";""
"Baixado definitivamente";"10";"Não";"Não";""
"Bem/dinheiro depositado";"109";"Não";"Não";""
"Cálculo efetuado";"13";"Não";"Não";""
"Carta devolvida";"11";"Não";"Não";""
"Classe evoluida para ação penal";"81";"Não";"Não";""
"Classe processual retificada";"133";"Não";"Não";""
"Comparecimento do réu";"108";"Não";"Não";""
"Concedida a recuperação judicial";"90";"Não";"Sim";"Julgado com resolução do mérito"
"Conclusão cancelada";"136";"Não";"Não";""
"Concluso";"12";"Não";"Não";""
"Iniciado o cumprimento da pena";"111";"Não";"Não";""
"Concluso para admissibilidade recursal";"69";"Não";"Não";"Concluso"
"Concluso para decisão";"67";"Não";"Não";"Concluso"
"Concluso para despacho";"66";"Não";"Não";"Concluso"
"Concluso para julgamento";"68";"Não";"Não";"Concluso"
"Decisão denegatória de admissibilidade proferida";"14";"Não";"Não";"Decisão proferida"
"Decisão em embargos de declaração proferida";"15";"Não";"Não";"Decisão proferida"
"Decisão homologatória proferida";"16";"Não";"Não";"Decisão proferida"
"Decisão proferida";"17";"Não";"Não";""
"Decretada a falência";"18";"Não";"Sim";"Julgado com resolução do mérito"
"Denúncia/queixa recebida";"9";"Não";"Não";"Decisão proferida"
"Denúncia/queixa rejeitada";"19";"Não";"Não";"Decisão proferida"
"Despacho proferido";"21";"Não";"Não";""
"Destaque para Julgamento Presencial";"145";"Não";"Não";""
"Determinado arquivamento do procedimento investigatório";"3";"Não";"Não";""
"Devolvido da carga/vista";"64";"Não";"Não";""
"Devolvido da vista";"22";"Não";"Não";""
"Disponibilizado no DJE";"53";"Não";"Não";""
"Distribuição cancelada";"23";"Não";"Não";""
"Distribuído";"24";"Não";"Não";""
"Entregue em carga/vista";"63";"Não";"Não";""
"Excluído do juízo 100% digital";"115";"Não";"Não";""
"Execução não criminal iniciada";"26";"Sim";"Não";""
"Fase processual iniciada";"65";"Não";"Não";""
"Finalizada tramitação direta entre MP e autoridade policial";"117";"Não";"Não";""
"Finalizado o cumprimento da pena";"113";"Não";"Não";""
"Incluído no juízo 100% digital";"114";"Não";"Não";""
"Iniciado o cumprimento da transação penal";"54";"Não";"Não";""
"Interrompido o cumprimento da pena";"112";"Não";"Não";""
"Julgado";"62";"Não";"Sim";""
"Julgado com resolução do mérito";"27";"Não";"Sim";"Julgado"
"Julgamento homologatório proferido";"29";"Não";"Sim";"Julgado com resolução do mérito"
"Justiça gratuita concedida por decisão";"30";"Não";"Não";"Decisão proferida"
"Justiça gratuita não concedida";"31";"Não";"Não";"Decisão proferida"
"Justiça gratuita revogada";"32";"Não";"Não";"Decisão proferida"
