"bsq_situacao_finalizada";"bsq_situacao_por";"finalizada_por"
"2";"2";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"2";"10";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"2";"26";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"2";"65";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"2";"91";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"2";"37";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"2";"154";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"2";"41";"Arquivado definitivamente (2)
Baixado definitivamente (10)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Liquidação/execução iniciada (91)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)"
"4";"2";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Desarquivado (82)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Liquidação/execução iniciada (91)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Transação penal cumprida (129)"
"4";"4";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Desarquivado (82)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Liquidação/execução iniciada (91)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Transação penal cumprida (129)"
"4";"10";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Desarquivado (82)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Liquidação/execução iniciada (91)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Transação penal cumprida (129)"
"4";"81";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Desarquivado (82)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Liquidação/execução iniciada (91)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Transação penal cumprida (129)"
"4";"90";"Arquivado definitivamente (2)
Arquivado provisoriamente (4)
Baixado definitivamente (10)
Classe evoluida para ação penal (81)
Concedida a recuperação judicial (90)
Decretada a falência (18)
Denúncia/queixa recebida (9)
Desarquivado (82)
Distribuição cancelada (23)
Distribuído (24)
Execução não criminal iniciada (26)
Fase processual iniciada (65)
Julgado (62)
Julgado com resolução do mérito (27)
Julgado sem resolução do mérito (28)
Julgamento homologatório proferido (29)
Liquidação/execução iniciada (91)
Pronunciado (72)
Reativado (37)
Redistribuído para outro Tribunal (154)
Remetido (41)
Transação penal cumprida (129)"
