"bsq_regra";"bsq_situacao_iniciada";"bsq_movimentacao_por";"dsc_extra"
"2_246_sem-complemento_sem-extra";"2";"246";
"4_245_sem-complemento_sem-extra";"4";"245";
"4_14997_sem-complemento_sem-extra";"4";"14997";
"4_14998_sem-complemento_sem-extra";"4";"14998";
"1_92_sem-complemento_sem-extra";"1";"92";
"73_970_[15:situacao_da_audiencia:12;16:tipo_de_audiencia:17]_sem-extra";"73";"970";
"73_970_[15:situacao_da_audiencia:12;16:tipo_de_audiencia:92]_sem-extra";"73";"970";
"73_12624_[15:situacao_da_audiencia:12]_sem-extra";"73";"12624";
"73_12740_[15:situacao_da_audiencia:12]_sem-extra";"73";"12740";
"73_12752_[15:situacao_da_audiencia:12]_sem-extra";"73";"12752";
"70_970_[15:situacao_da_audiencia:11;16:tipo_de_audiencia:17]_sem-extra";"70";"970";
"70_970_[15:situacao_da_audiencia:11;16:tipo_de_audiencia:92]_sem-extra";"70";"970";
"70_12624_[15:situacao_da_audiencia:11]_sem-extra";"70";"12624";
"70_12740_[15:situacao_da_audiencia:11]_sem-extra";"70";"12740";
"70_12752_[15:situacao_da_audiencia:11]_sem-extra";"70";"12752";
"74_970_[15:situacao_da_audiencia:15;16:tipo_de_audiencia:17]_sem-extra";"74";"970";
"74_970_[15:situacao_da_audiencia:15;16:tipo_de_audiencia:92]_sem-extra";"74";"970";
"74_12624_[15:situacao_da_audiencia:15]_sem-extra";"74";"12624";
"74_12740_[15:situacao_da_audiencia:15]_sem-extra";"74";"12740";
"74_12752_[15:situacao_da_audiencia:15]_sem-extra";"74";"12752";
"5_970_[15:situacao_da_audiencia:9;16:tipo_de_audiencia:17]_sem-extra";"5";"970";
"5_970_[15:situacao_da_audiencia:9;16:tipo_de_audiencia:92]_sem-extra";"5";"970";
"5_12624_[15:situacao_da_audiencia:9]_sem-extra";"5";"12624";
"5_12740_[15:situacao_da_audiencia:9]_sem-extra";"5";"12740";
"5_12752_[15:situacao_da_audiencia:9]_sem-extra";"5";"12752";
"75_970_[15:situacao_da_audiencia:14;16:tipo_de_audiencia:17]_sem-extra";"75";"970";
"75_970_[15:situacao_da_audiencia:14;16:tipo_de_audiencia:92]_sem-extra";"75";"970";
"75_12624_[15:situacao_da_audiencia:14]_sem-extra";"75";"12624";
"75_12740_[15:situacao_da_audiencia:14]_sem-extra";"75";"12740";
"75_12752_[15:situacao_da_audiencia:14]_sem-extra";"75";"12752";
"82_893_sem-complemento_sem-extra";"82";"893";
"6_970_[15:situacao_da_audiencia:13;16:tipo_de_audiencia:17]_sem-extra";"6";"970";
"6_970_[15:situacao_da_audiencia:13;16:tipo_de_audiencia:92]_sem-extra";"6";"970";
"6_12624_[15:situacao_da_audiencia:13]_sem-extra";"6";"12624";
"6_12740_[15:situacao_da_audiencia:13]_sem-extra";"6";"12740";
"6_12752_[15:situacao_da_audiencia:13]_sem-extra";"6";"12752";
"76_970_[15:situacao_da_audiencia:10;16:tipo_de_audiencia:17]_sem-extra";"76";"970";
"76_970_[15:situacao_da_audiencia:10;16:tipo_de_audiencia:92]_sem-extra";"76";"970";
"76_12624_[15:situacao_da_audiencia:10]_sem-extra";"76";"12624";
"76_12740_[15:situacao_da_audiencia:10]_sem-extra";"76";"12740";
"76_12752_[15:situacao_da_audiencia:10]_sem-extra";"76";"12752";
"77_970_[15:situacao_da_audiencia:12;16:tipo_de_audiencia:16]_sem-extra";"77";"970";
"77_970_[15:situacao_da_audiencia:12;16:tipo_de_audiencia:18]_sem-extra";"77";"970";
"77_970_[15:situacao_da_audiencia:12;16:tipo_de_audiencia:19]_sem-extra";"77";"970";
"77_970_[15:situacao_da_audiencia:12;16:tipo_de_audiencia:193]_sem-extra";"77";"970";
"77_970_[15:situacao_da_audiencia:12;16:tipo_de_audiencia:20]_sem-extra";"77";"970";
"77_970_[15:situacao_da_audiencia:12;16:tipo_de_audiencia:21]_sem-extra";"77";"970";
"77_970_[15:situacao_da_audiencia:12;16:tipo_de_audiencia:22]_sem-extra";"77";"970";
"77_970_[15:situacao_da_audiencia:12;16:tipo_de_audiencia:228]_sem-extra";"77";"970";
"77_970_[15:situacao_da_audiencia:12;16:tipo_de_audiencia:23]_sem-extra";"77";"970";
"77_970_[15:situacao_da_audiencia:12;16:tipo_de_audiencia:24]_sem-extra";"77";"970";
"77_970_[15:situacao_da_audiencia:12;16:tipo_de_audiencia:25]_sem-extra";"77";"970";
"77_970_[15:situacao_da_audiencia:12;16:tipo_de_audiencia:91]_sem-extra";"77";"970";
"77_12739_[15:situacao_da_audiencia:12]_sem-extra";"77";"12739";
"77_12741_[15:situacao_da_audiencia:12]_sem-extra";"77";"12741";
"77_12742_[15:situacao_da_audiencia:12]_sem-extra";"77";"12742";
"77_12743_[15:situacao_da_audiencia:12]_sem-extra";"77";"12743";
"77_12744_[15:situacao_da_audiencia:12]_sem-extra";"77";"12744";
"77_12745_[15:situacao_da_audiencia:12]_sem-extra";"77";"12745";
"77_12746_[15:situacao_da_audiencia:12]_sem-extra";"77";"12746";
"77_12747_[15:situacao_da_audiencia:12]_sem-extra";"77";"12747";
"77_12749_[15:situacao_da_audiencia:12]_sem-extra";"77";"12749";
"77_12750_[15:situacao_da_audiencia:12]_sem-extra";"77";"12750";
"77_12751_[15:situacao_da_audiencia:12]_sem-extra";"77";"12751";
"77_12753_[15:situacao_da_audiencia:12]_sem-extra";"77";"12753";
"77_14096_[15:situacao_da_audiencia:12]_sem-extra";"77";"14096";
"77_15050_[15:situacao_da_audiencia:12]_sem-extra";"77";"15050";
